EmployeeID,LastName,FirstName,Department,Manager,AnnualAllowanceHrs,UsedHrs,RemainingHrs,CarryoverHrs,AsOfDate
1042,Webb,Aaron,IT,M.Doyle,200,86,114,16,2026-04-30
1057,Ionescu,Maria,HR,L.Pratt,200,120,80,0,2026-04-30
1063,Novak,Petr,Finance,R.Singh,176,44,132,8,2026-04-30
1071,Andersson,Karin,IT,M.Doyle,200,150,50,0,2026-04-30
1088,Okafor,Chidi,Operations,T.Mbeki,200,72,128,24,2026-04-30
1094,Rossi,Giulia,Marketing,S.Hart,176,160,16,0,2026-04-30
1102,Kovacs,Bela,IT,M.Doyle,200,40,160,16,2026-04-30
1117,Haddad,Nadia,Finance,R.Singh,200,98,102,0,2026-04-30
1123,Schmidt,Lukas,Engineering,P.Vogel,200,55,145,32,2026-04-30
1135,Petrov,Anna,HR,L.Pratt,176,176,0,0,2026-04-30
1149,Nguyen,Minh,Engineering,P.Vogel,200,110,90,8,2026-04-30
1156,OConnor,Sean,Operations,T.Mbeki,200,64,136,16,2026-04-30
1162,Dubois,Claire,Marketing,S.Hart,176,88,88,0,2026-04-30
1178,Yamamoto,Ren,IT,M.Doyle,200,132,68,0,2026-04-30
1184,Kowalski,Piotr,Finance,R.Singh,200,46,154,24,2026-04-30
1190,Silva,Joana,HR,L.Pratt,200,124,76,0,2026-04-30
1203,Mueller,Hans,Engineering,P.Vogel,200,90,110,16,2026-04-30
1219,Tan,Wei,Operations,T.Mbeki,176,72,104,0,2026-04-30
1225,Larsen,Erik,Marketing,S.Hart,200,168,32,8,2026-04-30
1231,Costa,Bruno,IT,M.Doyle,200,58,142,16,2026-04-30
1247,Fischer,Lena,Finance,R.Singh,200,102,98,0,2026-04-30
1253,Adeyemi,Tunde,Engineering,P.Vogel,200,76,124,32,2026-04-30
1268,Moreau,Hugo,Operations,T.Mbeki,176,80,96,0,2026-04-30
1274,Jensen,Sofie,HR,L.Pratt,200,140,60,0,2026-04-30
1280,Romano,Marco,Marketing,S.Hart,200,52,148,16,2026-04-30
1296,Bauer,Felix,IT,M.Doyle,200,118,82,0,2026-04-30
1302,Khan,Ayesha,Finance,R.Singh,200,64,136,24,2026-04-30
1318,Lindqvist,Olof,Engineering,P.Vogel,200,96,104,8,2026-04-30
1324,Marin,Elena,Operations,T.Mbeki,176,176,0,0,2026-04-30
1330,Weber,Greta,Marketing,S.Hart,200,70,130,16,2026-04-30
